teks,sumber,sentimen
"Walaupun kami tinggal di desa, dampak kenaikan dollar tetap terasa",Media (Kompas),neutral
"Harga BBM, pupuk, dan barang-barang dari luar daerah bisa ikut naik,” katanya",Media (Kompas),neutral
Ia juga meminta pemerintah memahami kondisi riil masyarakat desa yang tetap terdampak fluktuasi nilai tukar dollar,Media (Kompas),neutral
"“Petani dan nelayan sangat bergantung pada solar, bensin, pupuk, dan peralatan yang harganya ikut dipengaruhi oleh nilai tukar dollar,” tutup Santo",Media (Kompas),neutral
PERNYATAAN Presiden Prabowo bahwa orang desa tidak belanja memakai dolar menyentuh satu ironi besar dalam ekonomi Indonesia,Media (Kompas),neutral
"Secara kasat mata, kalimat itu benar",Media (Kompas),neutral
"Di pasar nagari, di kios pupuk, di warung kecil, masyarakat membayar dengan rupiah",Media (Kompas),neutral
Tidak ada petani membeli beras dengan dolar,Media (Kompas),negative
Tidak ada pedagang sayur menghitung modalnya dengan kurs Bloomberg,Media (Kompas),neutral
Tetapi ekonomi tidak berhenti di meja transaksi,Media (Kompas),positive
Harga yang tampak lokal sering dibentuk oleh biaya global,Media (Kompas),neutral
Di titik inilah hilirisasi perlu dibaca lebih rasional,Media (Kompas),neutral
"Hilirisasi penting, bahkan strategis, tetapi ia tidak boleh diperlakukan sebagai mantra yang otomatis menyembuhkan semua kerentanan ekonomi",Media (Kompas),negative
"Baca juga: Membaca Kehebatan Persib yang Berpeluang Hattrick Juara Melemahnya rupiah memperlihatkan bahwa persoalan Indonesia bukan hanya menjual barang mentah, melainkan terlalu bergantung pada impor energi, bahan baku, mesin, teknologi, pupuk, pakan, obat, dan logistik",Media (Kompas),neutral
Desa memang tidak memakai dolar sebagai alat bayar,Media (Kompas),negative
"Namun selama struktur produksi nasional masih berutang pada dolar, pasar desa tetap ikut menanggung getarnya",Media (Kompas),neutral
Kesalahan terbesar dalam membaca kurs adalah menganggap dolar hanya berdampak kepada mereka yang bertransaksi langsung dengan mata uang asing,Media (Kompas),negative
"Padahal, dolar bekerja secara tidak terlihat",Media (Kompas),negative
"Ia masuk melalui harga BBM, LPG, pupuk, pestisida, pakan ternak, mesin pertanian, suku cadang kendaraan, bahan baku industri, impor pangan, hingga biaya distribusi",Media (Kompas),neutral
"Rakyat desa tidak membeli dolar, tetapi membeli barang yang ongkos produksinya terhubung dengan dolar",Media (Kompas),neutral
"Ketika rupiah melemah, importir menghadapi biaya lebih mahal",Media (Kompas),negative
Produsen berbahan baku impor menanggung tekanan,Media (Kompas),neutral
Distributor menghitung ulang ongkos logistik,Media (Kompas),neutral
Pemerintah menanggung subsidi energi yang lebih berat,Media (Kompas),neutral
"Sebagian tekanan mungkin tidak langsung muncul dalam inflasi karena ditahan subsidi, harga yang diatur, stok barang, atau lemahnya daya beli",Media (Kompas),neutral
Tetapi tekanan itu tidak hilang,Media (Kompas),positive
"Ia hanya berpindah tempat: dari konsumen ke APBN, dari produsen ke margin usaha, atau dari pasar hari ini ke harga mendatang",Media (Kompas),neutral
"Karena itu, mengatakan orang desa tidak belanja pakai dolar benar secara literal, tetapi tidak cukup secara ekonomi",Media (Kompas),negative
NILAI tukar rupiah di pertengahan Mei 2026 kembali terkapar dalam ketidakpastian yang sangat mencemaskan,Media (Kompas),neutral
Angka psikologis yang bergerak di kisaran Rp 17,Media (Kompas),neutral
"600 per dolar AS menjadi representasi nyata dari rapuhnya stabilitas ekonomi domestik kita, melampaui sekadar angka kuantitatif di layar monitor pasar valuta asing",Media (Kompas),neutral
"Ketika harga barang impor melonjak tajam dan biaya logistik merangkak naik, kecemasan kolektif segera menyergap seluruh lapisan masyarakat, memicu pertanyaan mendasar yang selalu berulang mengenai penyebab rapuhnya mata uang garuda",Media (Kompas),neutral
"Guncangan moneter tersebut sering kali ditudingkan pada faktor eksternal, seperti kebijakan bank sentral Amerika Serikat yang mempertahankan suku bunga tinggi, hingga eskalasi geopolitik di Selat Hormuz yang melambungkan harga minyak dunia secara signifikan",Media (Kompas),neutral
"Namun, menyalahkan dinamika global secara terus-menerus adalah bentuk ketidakberdayaan ekonomi yang akut dan tidak produktif",Media (Kompas),negative
Masalah fundamentalnya justru terletak pada ketergantungan mutlak struktur keuangan domestik terhadap sistem fiat global yang sama sekali tidak berjangkar pada aset riil,Media (Kompas),neutral
Ulasan strategis berikut bermaksud menggugat paradigma pengelolaan devisa nasional yang dirasa terlalu kertas-sentris selama beberapa dekade terakhir,Media (Kompas),neutral
"Di tengah ketidakpastian makroekonomi, kita perlu menengok kembali potensi kekayaan riil di bawah Tanah Air sendiri",Media (Kompas),neutral
"Baca juga: Persib dan Seni Menjaga Sense of Belonging di Era Sepak Bola Modern Pertemuan antara melemahnya nilai tukar dan melimpahnya kekayaan geologis berupa emas menuntut sebuah reorientasi strategi moneter yang radikal, mandiri, sekaligus memberikan solusi konkret bagi masa depan ekonomi bangsa secara berkelanjutan",Media (Kompas),neutral
"Untuk memahami mengapa rupiah begitu mudah diombang-ambingkan oleh keperkasaan dolar, kita harus menengok sejarah panjang pada Agustus 1971",Media (Kompas),negative
"Dinukil dari catatan sejarah moneter global, peristiwa Nixon Shock menjadi titik balik krusial ketika Amerika Serikat secara sepihak mengakhiri sistem konvertibilitas dolar ke emas",Media (Kompas),neutral
"Sejak momen bersejarah tersebut, tata keuangan dunia resmi beralih penuh ke sistem uang fiat murni, sebuah tatanan di mana nilai mata uang tidak lagi dijamin komoditas fisik, melainkan murni oleh kepercayaan pasar",Media (Kompas),neutral
Penghapusan jangkar fisik tersebut membuka keran bagi inflasi global yang persisten dan sulit dikendalikan oleh negara berkembang,Media (Kompas),neutral
"Tanpa batasan cadangan emas, bank sentral global dapat mencetak likuiditas tanpa kendali nyata yang membatasi ruang gerak mereka",Media (Kompas),neutral
"Ketika Bank Sentral AS mengekspor dolar ke seluruh penjuru dunia melalui pelonggaran kuantitatif, perekonomian nasional terpaksa ikut terseret dalam ombak likuiditas tersebut",Media (Kompas),neutral
com - Pengusaha tempe rumahan di Kota Semarang mengeluhkan kenaikan harga kedelai impor akibat dampak penguatan dolar AS terhadap rupiah,Media (Kompas),neutral
"Adip Muharam, salah satu produsen tempe mengatakan, harga kedelai mengalami kenaikan signifikan sejak awal 2026",Media (Kompas),neutral
"Ia mengakui dampak pelemahan rupiah pada dollar dirasakan, karena mayoritas kedelai yang digunakan produsen tempe masih bergantung pada impor",Media (Kompas),neutral
"Alhasil, harga bahan baku terus naik dari waktu ke waktu",Media (Kompas),positive
"""Kalau bisa ya pemerintah itu ya ditekanlah dolarnya itu kan",Media (Kompas),negative
Bukan masalah kita orang desa atau orang kota ya,Media (Kompas),negative
"Kita kan juga apa namanya produsen itu kan bergantung juga sama impor,"" ujar Adip saat ditemui di rumah produksi di Pandean Lamper, Gayamsari, Selasa (19/5/2026)",Media (Kompas),neutral
"Baca juga: Petani Milenial NTT ke Prabowo: Dampak Dolar Tetap Sampai ke Desa Dia menyebut, harga kedelai yang sebelumnya sekitar Rp 8",Media (Kompas),neutral
000 per kilogram kini telah mencapai Rp 10,Media (Kompas),neutral
500 hingga mendekati Rp 11,Media (Kompas),neutral
"“Karena kedelai kita memang mayoritas impor, jadi mau tidak mau ikut harga impor",Media (Kompas),negative
"Kalau kurs dolar makin naik, otomatis harga kedelai juga naik terus,” katanya",Media (Kompas),neutral
"Tak hanya kedelai, kenaikan juga terjadi pada harga plastik kemasan",Media (Kompas),neutral
Ati menyebut harga plastik bahkan melonjak hingga sekitar 70 persen,Media (Kompas),neutral
"“Dulu satu rol plastik sekitar Rp 550 ribu, sekarang sudah sampai Rp 1,15 juta,” ungkapnya",Media (Kompas),neutral
Kenaikan biaya produksi tersebut memaksa produsen menaikkan harga jual tempe,Media (Kompas),neutral
Harga tempe yang sebelumnya Rp 4,Media (Kompas),neutral
000 kini naik menjadi Rp 5,Media (Kompas),neutral
000 per bungkus secara bertahap sejak Mei 2026,Media (Kompas),neutral
"Meski demikian, Ati mengaku produsen berada dalam posisi sulit karena kenaikan harga jual berpotensi menurunkan daya beli masyarakat",Media (Kompas),neutral
"“Yang kami khawatirkan itu ketika harga makanan naik semua, tapi ekonomi masyarakat turun",Media (Kompas),negative
"Akhirnya pembeli berkurang,” katanya",Media (Kompas),negative
"Baca juga: Desa, Dolar, dan Rasionalisasi Hilirisasi Untuk menyiasati kondisi itu, dia memilih memperkecil ukuran tempe agar tetap terjangkau konsumen",Media (Kompas),neutral
Bakar dollar terus,Publik (Instagram),negative
Semua harga barang pasti naik tetapi gaji tetap. Pengeluaran lebih besar daripada penghasilan,Publik (Instagram),negative
"Statement rekor terendahnya nanti aja kalo udah naik ah, masa tiap hari ada rekor baru",Publik (Instagram),neutral
Ngak ada jadwal demo seperti nepal?,Publik (Instagram),negative
Deputy gak guna,Publik (Instagram),negative
Gak perlu penjelasan taeekk bukti nyata kerja nya 😮😮😮😮😮,Publik (Instagram),negative
🎊🎊🎊 AYO KITA SALING FOLLOW KAKA SEMUA LANGSUNG SAYA FOLLBACK AMANAH 🙏,Publik (Instagram),neutral
"Semalam karena alasan musim haji , musim haji dah lewat . Mau alasan apa lagi ?",Publik (Instagram),negative
": ""Apabila suatu urusan diserahkan kepada bukan ahlinya, maka tunggulah kehancurannya (kiamat).""",Publik (Instagram),negative
"Dalih dan alasan apapun itu, cuma untuk mempertahankan jabatan saja walaupun sudah jelas jelas tidak mempunyai kompetensi",Publik (Instagram),negative
"Gak usah buang2 duit buat intervensi market, masalahnya ada pada ketidakpercayaan pasar pada PENGELOLA NEGARA INI, KRN AMAT BURUKNYA TATA KELOLA NEGARA MAUPUN TIDAK KOMPETENNYA DAN TIDAK KREDIBEL NYA PARA PENGELOLA NEGARA INI....",Publik (Instagram),negative
Otw 98 jilid 2,Publik (Instagram),neutral
"Jogetin aja 👏👏,, kan mau Seburuk apapun keadaan Indonesia yang penting joged😂😂😂",Publik (Instagram),negative
"Nilai tukar rupiah terhadap dolar AS nyaris tembus Rp18.200.Menanggapi pelemahan ini, Bank Indonesia menegaskan pihaknya tetap berada di pasar dan siap melakukan intervensi untuk menjaga stabilitas rupiah.Sebelumnya, pada konferensi pers Sabtu, Gubernur BI Perry Warjiyo juga sudah membeberkan 2 jurusnya untuk stabilisasi nilai tukar rupiah. Sejauh apa dampak intervensi BI dalam hal ini?Baca berita selengkapnya dengan klik link di bio atau melalui cnbcindonesia.comUpdate berita terbaru setiap saat dengan download aplikasi CNBC Indonesia sekarang di App Store atau Google Play📲",Publik (Instagram),neutral
Apaan orang tadi 18.333 pembohong anda@cnbcindonesia,Publik (Instagram),negative
EnglishDown chevron iconAfrikaansالعربيةČeštinaDanskDeutschΕλληνικάEnglishEnglish (UK)Español (España)EspañolفارسیSuomiFrançaisעבריתBahasa IndonesiaItaliano日本語한국어Bahasa MelayuNorskNederlandsPolskiPortuguês (Brasil)Português (Portugal)РусскийSvenskaภาษาไทยFilipinoTürkçe中文(简体)中文(台灣)বাংলাગુજરાતીहिन्दीHrvatskiMagyarಕನ್ನಡമലയാളംमराठीनेपालीਪੰਜਾਬੀසිංහලSlovenčinaதமிழ்తెలుగుاردوTiếng Việt中文(香港)БългарскиFrançais (Canada)RomânăСрпскиУкраїнська,Publik (Instagram),neutral
"Sekarang cadangan devisa dollar Indonesia per Juni 2026 sebesar 144,9 Milyar dollar.... China cadangan devisa dollar nya per Juni 2026 sebesar 3,3 Triliun dollar..... kalau semua mafia ekspor CPO dan batu bara bisa di tangkap...dan uang dollar hasil ekspor nya disimpan di BI.....itu cadangan devisa dollar Indonesia bisa mencapai 3 Triliun dollar..... rupiah Indonesia pasti sangat kuat.... siapa yang berani goyang goyang rupiah Indonesia... Ayok Pak Mentan tangkap itu semua mafia ekspor CPO.... ...bisa kaya raya Indonesia berkat kinerja Pak Mentan ini",Publik (Instagram),positive
MBG dan koperasi merah putih gak guna pak tolong di hapus kasihan pedagang2 di pasar,Publik (Instagram),negative
"Kata kata Pejabat Negara Republik Indonesia, Tenang aja,Masih Aman,Rakyat Jelata Jangan Panik.",Publik (Instagram),negative
YA GMNA GA MAU MELEMAH TERUSS D SURUH CETAK DUIT TERUSS SAMA SI OMON2 😂😂,Publik (Instagram),negative
Penjelasan apa pun hanya menjadi penghancur rupiah aja,Publik (Instagram),negative
"cintai produk² Indonesia, spy tdk impor 🔥",Publik (Instagram),positive
Kemaren aku#MIMPImalah menjadi#19700,Publik (Instagram),neutral
Trust trust no fundamental,Publik (Instagram),negative
sekali pidato lgs anjlok 😢,Publik (Instagram),negative
Dijaga… ya dijaga banget ampe bentar lagi mau 19k😂😂,Publik (Instagram),negative
PEMERINTAHANN AMBURADULLLPEMERINTAHANN JAHANAMMM!!!!,Publik (Instagram),negative
G kerja sih klen semua,Publik (Instagram),negative
Meta in Indonesia,Publik (Instagram),neutral
"Terus menjaga tapi rupiah terus melemah,terus apa yang dijaga?, alaaaaah emboh rah wes kah ngrasakno Negoro koyo ngene tambah suwe tambah mumet 🥺😭😂",Publik (Instagram),negative
Banyak alibi aja nih BI,Publik (Instagram),negative
"Tiap kali naik ada aja omon omon g jelas,rakyat jg g bodoh2 ama selalu buat statements Indonesia msh aman.",Publik (Instagram),negative
Contact Uploading & Non-Users,Publik (Instagram),neutral
Oke gas 20.000,Publik (Instagram),negative
Penjelasan Tanpa Arti. Tetap bikin Rekor Terendah. Astaghfirullah,Publik (Instagram),positive
Gini aja terus. Kalian mau nunggu sampe berapa sih???,Publik (Instagram),negative
Wow Wow Wow Amazing.. fufufafa fufuf4f4 fufufafa,Publik (Instagram),positive
© 2026 Instagram from Meta,Publik (Instagram),neutral
KLO ga bisa tangani mending mundur aja dah. Memalukan setiap hari rupiah melemah terus,Publik (Instagram),negative
"Rupiah melemah,.. masyarakat jadi lemah lunglai…biasanya beli bahan pokok per kg, sekarang dikurang menjadi 1/2 kg… oh oh oh dimana peranmu penguasa …",Publik (Instagram),negative
Asikk bntr lagi 20 rb 😂,Publik (Instagram),positive
Saya tunggu di 20-25k 😍😍😍😍🔥🔥🔥🔥🔥🥳🥳🥳🥳🥳🥳🥳,Publik (Instagram),neutral
@prabowohiduupp jokoweeeiii 👏👏👏👏😂,Publik (Instagram),positive
"Tukarin Rupiahmu sekarang, mumpung lagi koreksi...",Publik (Instagram),neutral
Purrr gimana ini purrrr😂,Publik (Instagram),negative
Dan.. semakin dalam 😂😂,Publik (Instagram),negative
Baru kali ini Seorang President yg tau Jabatan aja sebagai PRESIDENT tapi tidak tau apa yg mau di kerjakan,Publik (Instagram),negative
Pila kota malang nya kak 😶,Publik (Instagram),neutral
Akan ambles terus kayaknya - selama pemerintah masih egois sama programnya--😢😢,Publik (Instagram),negative
"Ya Allah, knp 2029 terasa lama y Allah 😢😢",Publik (Instagram),negative
gua jadi sangat pesimis ketika pemerintah masi pake mode defensif biar terliat baik baik saja padahal ngaruh ke trust😢,Publik (Instagram),negative
Udah di atas 16.500 belum terlalu dalam? 😂😂😂😂😂@bank_indonesia@ojkindonesia@menkeuri@dpr_ri,Publik (Instagram),neutral
"Yang kaya, saatnya beli kendaraan listrik, sebelum harga nya naik juga 😂😂😂",Publik (Instagram),neutral
"MBG baru cocok d realisasikan klo struktur negaranya d benerin sperti d china negara sdh makmur ,tdk ada korupsi ..klo d mari yg ada jd lahan korupsi  berjamaah",Publik (Instagram),negative
Ini saja uda terlalu dalam bukan?,Publik (Instagram),negative
Jelasin mulu wkkwkwk,Publik (Instagram),negative
See more posts,Publik (Instagram),neutral
GAK NGARUH DI HIDUO GUE... MAU 30RB 40RB 50RB,Publik (Instagram),neutral
Mereka yg punya untung besar saat rupiah melemah sedang menikmati 😂,Publik (Instagram),positive
"Dear Gubernur BI dan Kemenkui RI, Beranikan dirimu untuk bilang ke Presidenmu ""STOP MBG"" jika ingin Rupiah kembali menguat",Publik (Instagram),neutral
Biarkan dollar menari kali aja bisa menghentikan kebebalan Presiden dgn MBGnya.,Publik (Instagram),negative
"Kalian pengelola negara lupa, apapun alasannya tentang saya tahan rupiah thd dollar, itu akan semakin lemah,STOP MBG dan KOPDES, gunakan dananya untuk stabilisasi ,lepas ego politik kalian  unt sementara,nanti kalau sdh normal semua,lanjutkan program ambisius itu,jangan korban kan dunia usaha dengan  pajak2 kalian yang seperti firaun itu",Publik (Instagram),negative
STOP MBG baru benar.... MBG mencerminkan amat buruknya Tata Kelola Negara......,Publik (Instagram),negative
Coba konsul ke bu sri,Publik (Instagram),neutral
"Begini penjelasan, begini penjelasan, tekanan luar geopolitik, di indo masih baik, basi penjelasannya",Publik (Instagram),negative
LAWAN DOLAR. LAWAN JUGA ORANG ORANG PENCEBOK DOLAR,Publik (Instagram),negative
Bener2 bebal sekaliiiiii kleannnnnn ...,Publik (Instagram),negative
anjir kirain bakal kembali 17rb,Publik (Instagram),negative
Salah soros ini 🙃,Publik (Instagram),negative
"Batasi penukaran maksimal 100 dolar sehari, atau tutup aja bank yang selalau jual dollar, masa ka jelata bisa tegas tapi ke pihak berduit tidak tegas ?",Publik (Instagram),negative
"📌 TANDA KEHANCURAN ADALAH KETIKA AMANAH DISERAHKAN KEPADA YANG TIDAK KOMPETEN…. Nabi Shalallaahu Alaihi Wassalaam bersabda: “Apabila amanah disia-siakan, maka tunggulah kiamat.” Ada yang bertanya: “Bagaimana menyia-nyiakan amanah itu, wahai Rasulullah?” Beliau menjawab: “Jika suatu urusan diserahkan kepada yang bukan ahlinya, maka tunggulah kehancurannya.” (HR. Bukhari).",Publik (Instagram),negative
ini tiap hari naik bgt nih? 😭😭,Publik (Instagram),negative
Menjaga apa nya kalau memang sudah bukan dalam lagi tapi terperosok masuk jurang...,Publik (Instagram),negative
NYESEL GAK LO KAUM 58%..??,Publik (Instagram),negative
"Ga butuh penjelasan, kita tuh butuhnya ada tindakan dan informasi kalo rupiah menguat. Tiap hari bikin klarifikasi muak banget 😭",Publik (Instagram),negative
"Hasil joget joget gemoy rupiah Rp.18.000,- perdollar, pelajaran buat Pemilu 2029 Pilih Presiden yang Jujur dan Amanah bisa dipercaya....",Publik (Instagram),neutral
"BI akan menjaga pergerakan rupiah agar tidak terlalu dalam?SUDAH SEDALAM INI DAN MENCETAK SEJARAH TERLEMAH SEPANJANG MASA DAN MASIH AKAN TERUS MELEMAH.pihak pemerintah masih anggap stabil dari pernyataan kemenkeu dan BI masih blg jaga agar tidak terlalu dalam, berarti mereka anggap ini msh belum dalam sedangkan rakyat menengah kebawah menderita dgn harga bahan pokok yg naik!Negara sakit!",Publik (Instagram),negative
Kemarin bilangnya karna musim haji,Publik (Instagram),neutral
Pemerintah sekarang cetak rekor terus,Publik (Instagram),positive
"18,000+ blm trllu dalam katanya",Publik (Instagram),neutral
"Covid aja bisa cukup stabil, lhaa ini😢",Publik (Instagram),negative
"mundur aj, gaji gede ga becus😂",Publik (Instagram),negative
"Klo masih di posisi 16rb an kmren lu bilang gini boleh, ini udh 18rb lebih dn lu msh bilang agar tidak terperosok lebih dalam? Suka2 lu lah😂😂😂",Publik (Instagram),positive
Down chevron icon,Publik (Instagram),negative
PILIH LAGI 02 ENAK KAN?? MAKAN TU..JOGETIN AJA😂,Publik (Instagram),positive
ponakan prabski kemana ya?,Publik (Instagram),negative
Para markibul bersatu menipu rakyat 280juta.👏👏👏👏,Publik (Instagram),negative
"cnbcindonesiaVerified6dNilai tukar rupiah terhadap dolar AS nyaris tembus Rp18.200.Menanggapi pelemahan ini, Bank Indonesia menegaskan pihaknya tetap berada di pasar dan siap melakukan intervensi untuk menjaga stabilitas rupiah.Sebelumnya, pada konferensi pers Sabtu, Gubernur BI Perry Warjiyo juga sudah membeberkan 2 jurusnya untuk stabilisasi nilai tukar rupiah. Sejauh apa dampak intervensi BI dalam hal ini?Baca berita selengkapnya dengan klik link di bio atau melalui cnbcindonesia.comUpdate berita terbaru setiap saat dengan download aplikasi CNBC Indonesia sekarang di App Store atau Google Play📲",Publik (Instagram),neutral
"Joged joget tu nyebelin, apalagi yang joget $ 😂😂",Publik (Instagram),negative
"Jiwandono effect kok ga ada..? Ngapain direkrut para direksi BI kalo outputnya malah nyungsep gini.. tanggung jawab dong manajemen BI, misal pemotongan gaji atau remunerasi sebagai bentuk tanggung jawab..",Publik (Instagram),negative
Nothing they can do…hanya ngeles dan sibuk ksh alasan😂😂,Publik (Instagram),negative
"Nyaris ? Udah sempet tembus keleussss 😂😂dongo sih ni si@prabowoletoy, defensif ngebela MBG mulu",Publik (Instagram),negative
Menjaga menjaga menjaga Mulu dari kmrin² tetap aj lemahh,Publik (Instagram),negative
Yok bisa yok 20k 🔥 makan tu serok bawah,Publik (Instagram),neutral
Sudah kagak perlu penjelasan karena gagal🤟,Publik (Instagram),negative
Log into like or comment.,Publik (Instagram),neutral
Udeh dalem kayaknya mbak..tenggelem kali,Publik (Instagram),negative
"di Jepang sudah mundur pejabatnya, ya gak sih?",Publik (Instagram),negative
"semakin meroket rupiahku😢 gk ada yg demo2 lg,buruh udh disumpel jabatan,mahasiswa sibuk maen game,rakyat jd penonton😢",Publik (Instagram),negative
Ngapain aja sih ini orang2nya?,Publik (Instagram),negative
Sudah sempet ke 18300😢,Publik (Instagram),neutral
"Jangankan Dollar USD, mata uang dong milik Vietnam aja kian menguat terhadap rupiah, dulu 1 Dong = 0,050 rupiah, sekarang malah jadi 0,69 rupiah.. Padahal Indonesia negara kaya akan SDA dibandingkan dengan Vietnam, tpi mata uang Vietnam akan menguat seiring byk investor masuk ke Vietnam ktmbang Indonesia.. 😂😂",Publik (Instagram),negative
ya Allah 😢 sedangkan disisi lain saya guru gaji 600 k per bulan dan keluar 3 bulan sekali.. 😢,Publik (Instagram),negative
